Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit),Exchange 7 (Name),Exchange 7 (Amount),Exchange 7 (Unit)
,,,,,,,,,,,,,"market for gravel, crushed",105.99999999999997,kilogram,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.22478637946427948,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",3.725213620535716,kilowatt hour,,,,,,
,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,
,,,,,,,,,,,,,"market for alkyd paint, white, without water, in 60% solution state",0.00739,kilogram,,,,,,
,,,,,,,,,,,,,"market for sodium chloride, powder",2.57,kilogram,,,,,,
,,,,,,,,,,,,,market for glyphosate,4.96e-05,kilogram,,,,,,
,,,,,,,,,,,,,"market for alkyd paint, white, without solvent, in 60% solution state",0.0123,kilogram,,,,,,
,,,,,,,,,,,,,"market for transport, passenger car, large size, diesel, EURO 4",0.502,kilometer,,,,,,
,,,,,,,,,,,,,"market for gravel, crushed",2.1100000000000003,kilogram,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.286926340446581,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",18.81307365955344,kilowatt hour,,,,,,
,,,,,,,,,,"market for lorry, 16 metric ton",9.65e-08,unit,,,,,,,,,
,,,,,,,,,,offsite_road construction_cs,-1.45614035087719e-05,kilogram,,,,,,,,,
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-117.803652968037,kilogram,,,,,,
,,,,,,,,,,,,,"market for steel, low-alloyed, hot rolled",0.00767,kilogram,,,,,,
,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,"market for bitumen adhesive compound, hot",3.24,kilogram,,,,,,
,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,,,,market for reinforcing steel,0.344,kilogram,,,,,,
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram,,,,,,
,,,,,,,,,,,,,"market for concrete, normal",0.0035981735159817414,cubic meter,,,,,,
,,,,,,,,,,,,,"market for gravel, crushed",105.99999999999997,kilogram,,,,,,
,,,,,,,,,,,,,"market for electricity, medium voltage",0.22478637946427948,kilowatt hour,,,,,,
,,,,,,,,,,,,,"market group for electricity, medium voltage",3.725213620535716,kilowatt hour,,,,,,
,,,,,,,,,,"market for diesel, low-sulfur",0.01959497655280005,kilogram,,,,,,,,,
,,,,,,,,,,"market for transport, freight, sea, tanker for petroleum",0.05878492965840015,ton kilometer,,,,,,,,,
,,,,,,,"treatment of waste plastic, mixture, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,,,,
,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,
,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,
,,,,"offsite_market for waste plastic, mixture_cs",-1.2673034727296364,kilogram,,,,,,,,,,,,,,,
,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,"treatment of waste plastic, mixture, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,,,,
,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,
,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,
,"offsite_oil storage production, 3000l_eol",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,,,,
,,,,"offsite_market for waste plastic, mixture_cs",-0.0521307785705014,kilogram,,,,,,,,,,,,,,,
,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,"treatment of waste plastic, mixture, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,,,,
,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,
,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,
,,,,"offsite_market for waste plastic, mixture_cs",-0.49786922142949847,kilogram,,,,,,,,,,,,,,,
,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,"treatment of waste plastic, mixture, open dump, wet infiltration class (500mm)",-1.9999999999999998,kilogram,,,,,,,,,,,,
,,,,,,,"market group for transport, freight train",0.000639362449339934,ton kilometer,,,,,,,,,,,,
,,,,,,,"market for transport, freight train",0.01056063755066007,ton kilometer,,,,,,,,,,,,
"onsite_heat, baseline, production phase",,,,,,,,,,,,,,,,,,,,,
,chimney production_prod,4.1825000000000003e-07,meter,,,,,,,,,,,,,,,,,,
,,,,"market for stone wool, packed",0.5,kilogram,,,,,,,,,,,,,,,
,,,,"market for concrete, medium strength",0.04320000000000004,cubic meter,,,,,,,,,,,,,,,
,"oil boiler production, 100kW_prod",9.798999999999999e-08,unit,,,,,,,,,,,,,,,,,,
,,,,"market for steel, low-alloyed, hot rolled",485.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for copper, cathode",25.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for alkyd paint, white, without solvent, in 60% solution state",2.5,kilogram,,,,,,,,,,,,,,,
,,,,"market for polyethylene, high density, granulate",1.4,kilogram,,,,,,,,,,,,,,,
,,,,market for brass,0.05,kilogram,,,,,,,,,,,,,,,
,,,,"market for steel, chromium steel 18/8, hot rolled",25.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for brazing solder, cadmium free",6.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for stone wool, packed",19.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for aluminium, cast alloy",15.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for heat, district or industrial, other than natural gas",959.4999999999997,megajoule,,,,,,,,,,,,,,,
,,,,market for tap water,740.9999999999993,kilogram,,,,,,,,,,,,,,,
,,,,market for corrugated board box,10.000000000000002,kilogram,,,,,,,,,,,,,,,
,,,,"market for heat, district or industrial, natural gas",1727.9999999999964,megajoule,,,,,,,,,,,,,,,
,"oil storage production, 3000l_prod",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,,,,
,,,,"market for alkyd paint, white, without solvent, in 60% solution state",6.0,kilogram,,,,,,,,,,,,,,,
,,,,market for brass,1.4,kilogram,,,,,,,,,,,,,,,
,,,,"market for copper, cathode",20.1,kilogram,,,,,,,,,,,,,,,
,,,,"market for polyethylene, high density, granulate",0.55,kilogram,,,,,,,,,,,,,,,
,,,,"market for steel, low-alloyed, hot rolled",452.0,kilogram,,,,,,,,,,,,,,,
,,,,market for cast iron,6.0,kilogram,,,,,,,,,,,,,,,
,,,,"market for concrete, normal",0.22500000000000006,cubic meter,,,,,,,,,,,,,,,
"onsite_heat, baseline, distribution phase",,,,,,,,,,,,,,,,,,,,,
"onsite_heat, baseline, use phase",,,,,,,,,,,,,,,,,,,,,
,"onsite_heat production, light fuel oil, at boiler 100kW, non-modulating_use",1.0,megajoule,,,,,,,,,,,,,,,,,,
,,,,"market for electricity, low voltage",2.704463479625385e-05,kilowatt hour,,,,,,,,,,,,,,,
